Line No.,Program Name,ICS Code,Part Name,No. Points,P.No,Position,Feeder No.,Feeder Type,Machine No.
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,5006999000,QMK212B7223KGHT,30,5,C5/C5/C5/C5/C5/C5/C5/C5/C5/C5/C5/C5/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C6/C5/C5/C5,24,8mmTape,No.1
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,7758544300,UMK105B7331KVHF,15,6,C15/C15/C15/C15/C15/C15/C15/C15/C15/C15/C15/C15/C15/C15/C15,140,8mm1005cmp,No.1
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,8903806500,GRM21BC8YA106KE11L,60,1,C10/C11/C10/C11/C9/C14/C14/C11/C10/C11/C14/C11/C14/C11/C14/C11/C14/C11/C9/C10/C9/C10/C14/C9/C10/C9/C9/C14/C9/C10/C9/C10/C14/C11/C14/C9/C10/C11/C10/C11/C9/C10/C11/C14/C9/C10/C11/C14/C9/C10/C9/C14/C14/C10/C9/C11/C14/C9/C10/C11,26,8mmTape,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,2286251000,KRDMLS31.23-KPKU,15,2,LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1/LED1,153,8mmTape,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,7742470900,ZXS10TTR402D,15,3,R1/R1/R1/R1/R1/R1/R1/R1/R1/R1/R1/R1/R1/R1/R1,2,8mmTape,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,7653322900,AL8860QMP-13,15,4,IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1/IC1,145,12mmEmboss,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,4020817800,RB168MM-60TFTR,15,5,D2/D2/D2/D2/D2/D2/D2/D2/D2/D2/D2/D2/D2/D2/D2,159,8mmTape,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,9626906400,RK73B1JRTTD100J,15,6,R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3/R3,28,8mmTape,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,0696261000,ST04-36F1-5053,15,7,ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1/ZD1,160,12mmEmboss,No.2
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,7685138700,CDRH60D45BT150NP-10,15,1,L1/L1/L1/L1/L1/L1/L1/L1/L1/L1/L1/L1/L1/L1/L1,153,16mmEmboss,No.3
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,4246083400,K7930AT-0203,15,2,CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1/CN1,1,24mmEmboss,No.3
M.23,T20A_S15123M_T_M23_RANK_KQ.ygx,4378786100,CDRH60D45BT150NP-33,15,3,L2/L2/L2/L2/L2/L2/L2/L2/L2/L2/L2/L2/L2/L2/L2,148,16mmEmboss,No.3
M.23,T98__S17024A_T_M23.ygx,3960137000,2SC4081FRAT106QRS,4,1,Q121/Q122/Q22/Q21,19,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,7799182400,UMK212B7105KGHT,4,2,C8/C107/C7/C108,157,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,4677103600,SFR03EZPF4701,2,3,R121/R21,34,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,0356443600,CXQ18ZTR301D,2,4,R1/R101,158,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,6157953200,UMK105CH100DVHF,2,5,C3/C103,18,8mm1005cmp,No.1
M.23,T98__S17024A_T_M23.ygx,4734271600,UMK105B7102KVHF,8,6,C2/C6/C102/C105/C5/C4/C106/C104,138,8mm1005cmp,No.1
M.23,T98__S17024A_T_M23.ygx,6570524900,UMK105B7104KVHF,8,7,C134/C24/C34/C124/C122/C123/C23/C22,27,8mm1005cmp,No.1
M.23,T98__S17024A_T_M23.ygx,3530277800,UMK105B7103KVHF,2,8,C9/C109,134,8mm1005cmp,No.1
M.23,T98__S17024A_T_M23.ygx,7365553600,BLM31PG601SH1L,4,9,L3/L102/L103/L2,14,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,2742441400,UDZVFHTE-176.2B,2,10,ZD21/ZD121,132,8mmTape,No.1
M.23,T98__S17024A_T_M23.ygx,9815479500,D1FT10A-5053,2,1,D102/D2,143,12mmEmboss,No.2
M.23,T98__S17024A_T_M23.ygx,2059171400,M3F60-5063,2,2,D1/D101,38,12mmEmboss,No.2
M.23,T98__S17024A_T_M23.ygx,7389306200,SSM3K318RLXGF(T,2,3,Q1/Q101,10,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,5381993100,SFR03EZPF3002,2,4,R22/R122,48,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,8797901600,SFR03EZPJ203,12,5,R125/R24/R126/R28/R27/R25/R26/R23/R127/R123/R124/R128,131,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,7775245500,SFR03EZPF1002,2,6,R3/R103,24,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,0696261000,ST04-36F1-5053,2,7,ZD1/ZD101,160,12mmEmboss,No.2
M.23,T98__S17024A_T_M23.ygx,8365142300,SFR10EZPF22R0,2,8,R47/R147,132,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,3067039600,SFR03EZPF1000,2,9,R102/R2,156,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,4217989200,HBHW1149JTE-3-T-TR,4,10,LED1/LED102/LED2/LED101,47,8mmTape,No.2
M.23,T98__S17024A_T_M23.ygx,0434255000,QMK316B7104KLHT,4,1,C112/C111/C12/C11,138,8mmTape,No.3
M.23,T98__S17024A_T_M23.ygx,5884901400,UMK325C7106KMHPB,2,2,C1/C101,136,8mmTape,No.3
M.23,T98__S17024A_T_M23.ygx,6093625001,MAQ3203YM-TRV01,2,3,IC101/IC1,142,12mmLongPitch,No.3
M.23,T98__S17024A_T_M23.ygx,6074379700,CDRH70D45BT150NP-47,2,4,L1/L101,144,16mmEmboss,No.3
M.23,T98__S17024A_T_M23.ygx,7928044500,K7910AT-0106,1,5,CN1,23,44mmEmboss,No.3
M.23,T98__S17024A_T_M23.ygx,2561428300,K7910AT-0103,1,6,CN101,51,24mmEmboss,No.3
M.23,T98__S17024A_T_M23.ygx,7543227500,LTR18EZPJ301,20,7,R135/R133/R132/R131/R31/R32/R33/R35/R34/R36/R134/R138/R139/R140/R39/R37/R38/R40/R136/R137,140,8mmTape,No.3
M.23,TEST01.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.1
M.23,TEST01.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.1
M.23,TEST01.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.1
M.23,TEST01.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.1
M.23,TEST01.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.1
M.23,TEST01.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.2
M.23,TEST01.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.2
M.23,TEST01.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.2
M.23,TEST01.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.2
M.23,TEST01.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.2
M.23,TEST01.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.3
M.23,TEST01.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.3
M.23,TEST01.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.3
M.23,TEST01.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.3
M.23,TEST01.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.3
M.23,TEST02.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.1
M.23,TEST02.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.1
M.23,TEST02.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.1
M.23,TEST02.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.1
M.23,TEST02.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.1
M.23,TEST02.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.2
M.23,TEST02.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.2
M.23,TEST02.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.2
M.23,TEST02.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.2
M.23,TEST02.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.2
M.23,TEST02.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.3
M.23,TEST02.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.3
M.23,TEST02.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.3
M.23,TEST02.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.3
M.23,TEST02.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.3
M.23,TEST03.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.1
M.23,TEST03.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.1
M.23,TEST03.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.1
M.23,TEST03.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.1
M.23,TEST03.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.1
M.23,TEST03.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.2
M.23,TEST03.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.2
M.23,TEST03.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.2
M.23,TEST03.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.2
M.23,TEST03.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.2
M.23,TEST03.ygx,4853366300,K7930AT-0204,2,2,CN1-76A-2/CN1-76A-1,125,24mmEmboss,No.3
M.23,TEST03.ygx,7952074800,NCU18XH103D6SRB,3,3,TH1-2/TH1-3/TH1-1,117,8mmTape,No.3
M.23,TEST03.ygx,4439962800,HBJW1151KSE-B680-TR,9,4,LED1-2/LED2-2/LED1-3/LED3-2/LED2-3/LED3-3/LED1-1/LED2-1/LED3-1,115,12mmEmboss,No.3
M.23,TEST03.ygx,6570524900,UMK105B7104KVHF,3,5,C1-1/C1-3/C1-2,31,8mm1005cmp,No.3
M.23,TEST03.ygx,9643134100,K7930AT-0104,1,6,CN1-78-3,17,24mmEmboss,No.3
